scp41		0.029006		429.0
scp410		0.041009		514.0
scp42		0.033997		512.0
scp43		0.030003		516.0
scp44		0.061000		494.0
scp45		0.030021		512.0
scp46		0.078998		560.0
scp47		0.029998		430.0
scp48		0.068000		492.0
scp49		0.083000		641.0
scp51		0.003003		0
scp510		0.002999		0
scp52		0.000999		0
scp53		0.001999		0
scp54		0.002001		0
scp55		0.001001		0
scp56		0.001003		0
scp57		0.001999		0
scp58		0.002001		0
scp59		0.004001		0
scp61		0.808002		138.0
scp62		0.349991		146.0
scp63		0.127000		145.0
scp64		0.077006		131.0
scp65		0.664005		161.0
scpa1		0.002003		0
scpa2		0.000999		0
scpa3		0.000999		0
scpa4		0.002012		0
scpa5		0.002000		0
scpb1		0.003001		0
scpb2		0.001998		0
scpb3		0.001996		0
scpb4		0.002999		0
scpb5		0.004000		0
scpc1		0.001000		0
scpc2		0.000959		0
scpc3		0.002003		0
scpc4		0.002001		0
scpc5		0.001998		0
scpd1		0.002006		0
scpd2		0.001000		0
scpd3		0.001995		0
scpd4		0.001003		0
scpd5		0.002993		0
scpe1		0.295992		5.0
scpe2		0.305999		5.0
scpe3		0.338001		5.0
scpe4		0.256994		5.0
scpe5		0.327001		5.0
